Type,Price,Time,PNL,Balance
BUY,0.032484,2025-08-02 16:30:00,,
SELL,0.032656,2025-08-02 22:15:00,0.5294914419406432,1005.2949144194064
BUY,0.033165,2025-08-03 00:05:00,,
SELL,0.032943,2025-08-03 00:35:00,-0.6693803708729081,998.5656675928993
BUY,0.033041,2025-08-03 01:00:00,,
SELL,0.03324,2025-08-03 01:10:00,0.6022820132562506,1004.5798489993635
BUY,0.034452,2025-08-04 19:20:00,,
SELL,0.034545,2025-08-04 19:25:00,0.2699407871821545,1007.2916197516256
BUY,0.034424,2025-08-04 19:35:00,,
SELL,0.034474,2025-08-04 19:40:00,0.145247501742954,1008.7546856645811
BUY,0.034399,2025-08-05 07:30:00,,
SELL,0.03466,2025-08-05 09:40:00,0.7587429867147426,1016.4085410952174
BUY,0.034586,2025-08-05 10:15:00,,
SELL,0.035286,2025-08-05 11:30:00,2.023940322673912,1036.9800434015453
BUY,0.034567,2025-08-05 13:45:00,,
